episode_title_pretty,episode_title,podcast_name,link_homepage,link_mp3,description,published
MORDHAU in razvoj AAA igre z Markom Grgurovičem,MORDHAUinrazvojAAAigrezMarkomGrgurovičem,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/MORDHAU-in-razvoj-AAA-igre-z-Markom-Grguroviem-e1pagis,https://anchor.fm/s/964a7d24/podcast/play/59113500/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-9-15%2F291295392-44100-2-1f500ef4675b5.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 17 Oct 2022 04:20:41 GMT"
Sodelovati in zmagati z Rodom,SodelovatiinzmagatizRodom,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Sodelovati-in-zmagati-z-Rodom-e1ompkb,https://anchor.fm/s/964a7d24/podcast/play/58467403/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-9-2%2F288895412-44100-2-22ee9b9869343.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 03 Oct 2022 04:30:35 GMT"
"Žan, prijatelj razvijalcev in CI/CD",ŽanprijateljrazvijalcevinCICD,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/an--prijatelj-razvijalcev-in-CICD-e1o4f08,https://anchor.fm/s/964a7d24/podcast/play/57866696/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-8-20%2F286767499-44100-2-d163f8b678a63.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Tue, 20 Sep 2022 21:06:16 GMT"
"Čebelca, Rye in Janko Metelko",ČebelcaRyeinJankoMetelko,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/ebelca--Rye-in-Janko-Metelko-e1nqsr4,https://anchor.fm/s/964a7d24/podcast/play/57553188/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-8-14%2F285646208-44100-2-a4056d98ee03f.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Wed, 14 Sep 2022 11:52:08 GMT"
"JavaScript in Klemen Kogovšek, 13|37",JavaScriptinKlemenKogovšek1337,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/JavaScript-in-Klemen-Kogovek--1337-e1n2sj5,https://anchor.fm/s/964a7d24/podcast/play/56766501/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-7-28%2F282923038-44100-2-7d5d057a79cc8.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 29 Aug 2022 04:30:02 GMT"
Lov na talent,Lovnatalent,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Lov-na-talent-e1me6pi,https://anchor.fm/s/964a7d24/podcast/play/56088818/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-7-12%2F280568584-44100-2-655fd4aad61e6.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Mon, 15 Aug 2022 05:00:01 GMT"
Kiberpipa in produktni management,Kiberpipainproduktnimanagement,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Kiberpipa-in-produktni-management-e1lrcjs,https://anchor.fm/s/964a7d24/podcast/play/55472188/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-6-29%2F278562588-44100-2-9a5358c6616b5.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Fri, 29 Jul 2022 09:05:27 GMT"
"Nepopisan elektronski papir in Luka Napotnik, Visionect",NepopisanelektronskipapirinLukaNapotnikVisionect,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Nepopisan-elektronski-papir-in-Luka-Napotnik--Visionect-e1kttoj,https://anchor.fm/s/964a7d24/podcast/play/54506707/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-6-7%2F275361628-44100-2-55fcf8cba3869.m4a,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Thu, 07 Jul 2022 08:52:20 GMT"
"Empatija in tehnologija z Dr. Mateja Verlič Brunčič, Databox",EmpatijaintehnologijazDrMatejaVerličBrunčičDatabox,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Empatija-in-tehnologija-z-Dr--Mateja-Verli-Bruni--Databox-e1jvr12,https://anchor.fm/s/964a7d24/podcast/play/53520866/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-5-15%2F7904a83c-b56e-31f2-0638-27e3911cd25d.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Wed, 15 Jun 2022 11:59:06 GMT"
Kultura v remote podjetjih,Kulturavremotepodjetjih,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Kultura-v-remote-podjetjih-e1jkcfb,https://anchor.fm/s/964a7d24/podcast/play/53145515/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-5-7%2F879b70cd-7a35-f8dd-84d4-b6f007b5e5f2.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Tue, 07 Jun 2022 13:16:24 GMT"
